region,tenureCategory,population,classification
East Midlands,Does not apply,0,Rural
East Midlands,Owned: Owns outright,722183,Rural
East Midlands,Owned: Owns with a mortgage or loan,611592,Rural
East Midlands,Shared ownership: Shared ownership,17617,Rural
East Midlands,Social rented: Rents from council or Local Authority,178068,Rural
East Midlands,Social rented: Other social rented,124961,Rural
East Midlands,Private rented: Private landlord or letting agency,337278,Rural
East Midlands,Private rented: Other private rented,42768,Rural
East Midlands,Lives rent free,2865,Rural
East of England,Does not apply,0,Rural
East of England,Owned: Owns outright,910112,Rural
East of England,Owned: Owns with a mortgage or loan,804516,Rural
East of England,Shared ownership: Shared ownership,26174,Rural
East of England,Social rented: Rents from council or Local Authority,186616,Rural
East of England,Social rented: Other social rented,220536,Rural
East of England,Private rented: Private landlord or letting agency,423155,Rural
East of England,Private rented: Other private rented,55419,Rural
East of England,Lives rent free,2254,Rural
London,Does not apply,0,Urban
London,Owned: Owns outright,710052,Urban
London,Owned: Owns with a mortgage or loan,838494,Urban
London,Shared ownership: Shared ownership,52496,Urban
London,Social rented: Rents from council or Local Authority,413914,Urban
London,Social rented: Other social rented,377044,Urban
London,Private rented: Private landlord or letting agency,946379,Urban
London,Private rented: Other private rented,79154,Urban
London,Lives rent free,6356,Urban
North East,Does not apply,0,Rural
North East,Owned: Owns outright,382035,Rural
North East,Owned: Owns with a mortgage or loan,326511,Rural
North East,Shared ownership: Shared ownership,5234,Rural
North East,Social rented: Rents from council or Local Authority,149229,Rural
North East,Social rented: Other social rented,108905,Rural
North East,Private rented: Private landlord or letting agency,177306,Rural
North East,Private rented: Other private rented,25233,Rural
North East,Lives rent free,1226,Rural
North West,Does not apply,0,Rural
North West,Owned: Owns outright,1051022,Rural
North West,Owned: Owns with a mortgage or loan,914523,Rural
North West,Shared ownership: Shared ownership,21551,Rural
North West,Social rented: Rents from council or Local Authority,202719,Rural
North West,Social rented: Other social rented,353045,Rural
North West,Private rented: Private landlord or letting agency,541191,Rural
North West,Private rented: Other private rented,65653,Rural
North West,Lives rent free,3699,Rural
South East,Does not apply,0,Rural
South East,Owned: Owns outright,1306219,Rural
South East,Owned: Owns with a mortgage or loan,1194256,Rural
South East,Shared ownership: Shared ownership,54389,Rural
South East,Social rented: Rents from council or Local Authority,200415,Rural
South East,Social rented: Other social rented,318937,Rural
South East,Private rented: Private landlord or letting agency,645050,Rural
South East,Private rented: Other private rented,85717,Rural
South East,Lives rent free,2983,Rural
South West,Does not apply,0,Rural
South West,Owned: Owns outright,922164,Rural
South West,Owned: Owns with a mortgage or loan,691050,Rural
South West,Shared ownership: Shared ownership,26458,Rural
South West,Social rented: Rents from council or Local Authority,123885,Rural
South West,Social rented: Other social rented,201043,Rural
South West,Private rented: Private landlord or letting agency,417677,Rural
South West,Private rented: Other private rented,64467,Rural
South West,Lives rent free,2135,Rural
Wales,Does not apply,0,Rural
Wales,Owned: Owns outright,512089,Rural
Wales,Owned: Owns with a mortgage or loan,377827,Rural
Wales,Shared ownership: Shared ownership,4283,Rural
Wales,Social rented: Rents from council or Local Authority,116637,Rural
Wales,Social rented: Other social rented,105456,Rural
Wales,Private rented: Private landlord or letting agency,194845,Rural
Wales,Private rented: Other private rented,33797,Rural
Wales,Lives rent free,2183,Rural
West Midlands,Does not apply,0,Rural
West Midlands,Owned: Owns outright,836014,Rural
West Midlands,Owned: Owns with a mortgage or loan,689730,Rural
West Midlands,Shared ownership: Shared ownership,19549,Rural
West Midlands,Social rented: Rents from council or Local Authority,232457,Rural
West Midlands,Social rented: Other social rented,210875,Rural
West Midlands,Private rented: Private landlord or letting agency,385809,Rural
West Midlands,Private rented: Other private rented,50075,Rural
West Midlands,Lives rent free,4985,Rural
Yorkshire and The Humber,Does not apply,0,Rural
Yorkshire and The Humber,Owned: Owns outright,784891,Rural
Yorkshire and The Humber,Owned: Owns with a mortgage or loan,673700,Rural
Yorkshire and The Humber,Shared ownership: Shared ownership,12484,Rural
Yorkshire and The Humber,Social rented: Rents from council or Local Authority,257848,Rural
Yorkshire and The Humber,Social rented: Other social rented,145165,Rural
Yorkshire and The Humber,Private rented: Private landlord or letting agency,399843,Rural
Yorkshire and The Humber,Private rented: Other private rented,52714,Rural
Yorkshire and The Humber,Lives rent free,4013,Rural
